document_id,page,table_index,row_index,column_index,content
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,PD no. Nº de SV
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,Seq. no. Nº de séq.
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,105-A
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,/8/
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,176
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,175
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,69
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,115
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,114
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,439
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,46
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,47
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,314
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,365
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,073
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,137
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,PD no. Nº de SV
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,Seq. no. Nº de séq.
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,105-A
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,87
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,94
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,389
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,388
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,24
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,263
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,7.4
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,233
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,7.4
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,187
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,249
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,
34f1f716-a11a-4e90-859b-08a19d91e324,,1,,,74
