document_id,page,table_index,row_index,column_index,content
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,PD no. Nº de SV
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,Seq. no. Nº de ség.
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,105-4
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,87
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,1
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,194
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,282
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,285
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,32
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,34
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,34
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,93.
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,433
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,134
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,115
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,34
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,116
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,34
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,113
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,124
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,185
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,,1,,,34
