DocumentId,Riding,PageNumber,TableIndex,FULL_PD,FULL_PD_cleaned,SEQUENCE_NUMBER,SEQUENCE_NUMBER_cleaned,ED_CODE
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,3,1,147,147,360:,360,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,3,1,170,170,228,228,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,3,1,170,170,229,229,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,185,185,268,268,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,157,157,548,548,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,157,157,549,549,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,157,157,430,430,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,157,157,431,431,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,143,143,258.,258,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,185,185,95,95,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,142,142,205,205,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,142,142,207,207,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,157,157,550,550,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,166,166,267,267,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,163,163,465,465,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,163,163,464,464,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,155,155,218,218,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,155,155,219,219,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,155,155,226,226,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,163,163,25,25,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,163,163,28,28,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,142,142,186,186,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,142,142,396,396,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,166,166,93,93,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,4,1,157,157,264,264,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,145 -,145,392,392,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,157,157,316,316,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,157,157,3/7/317,37317,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,163,163,15.9,159,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,156,156,36,36,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,143,143,383,383,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,143,143,334,334,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,146,146,84,84,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,146,146,33,33,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,144,144,317,317,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,141,141,392,392,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,157,157,585,585,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,157,157,586,586,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,184,184,93,93,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,184,184,94,94,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,185,185,92,92,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,145,145,247,247,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,145,145,246,246,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,163,163,103,103,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,141,141,411.,411,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,157,157,29.,29,35023
4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,Unknown,5,1,166,166,466,466,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,133,133,216,216,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,139,139,252,252,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,139,139,253,253,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,177,177,270,270,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,177,177,269,269,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,148,148,108,108,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,138,138,276,276,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,134,134,253,253,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,134,134,254,254,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,132,132,347,347,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,148,148,486,486,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,148,148,408,408,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,134,134,323,323,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,148,148,407,407,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,136,136,372,372,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,132,132,262,262,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,132,132,270,270,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,135,135,152,152,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,135,135,151,151,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,176,176,29/,29,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,176,176,293,293,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,1,1,136,136,339,339,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,136,136,5%.,5,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,176,176,386,386,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,.136,136,72.,72,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,132,132,200,200,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,140,140,160,160,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,177,177,SIS,,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,177,177,397,397,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,138,138,253.,253,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,173,173,160,160,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,139,139,69,69,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,139,139,70,70,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,176,176,"377,",377,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,148,148,306,306,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,148,148,307,307,35023
985b90db-6616-4d3c-aed7-6c306991625e,Unknown,2,1,1.34,134,15.,15,35023
