document_id,page,table_index,row_index,column_index,content
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,PD no. Nº de SV
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,Seq. no. Nº de séq.
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,PD no. Nº de SV
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,Seq. no. Nº de séq.
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,PD no. Nº de SV
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,Seq. no. Nº de séq.
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,105-4
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,87
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,25
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,50
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,094
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,16
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,26
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,51
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,094
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,15
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,27
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,52
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,,1,,,
