document_id,blob_name,page_number,table_index,row_index,column_index,content,confidence
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,1,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,1,5,50,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,1,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,1,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,1,114,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,2,26,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,5,51,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,2,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,1,81,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,2,27,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,5,52,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,3,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,1,258,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,2,28,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,5,53,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,4,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,1,62,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,2,29,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,3,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,4,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,5,54,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,6,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,5,7,,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,0,132,
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,page_12_raw.json,1,1,6,1,237,
