ED_CODE,FULL_PD,SEQUENCE_NUMBER,ROW
35023,ex:,105A,1
35023,1,144,2
35023,2,156,3
35023,3,156,4
35023,4,155,5
35023,5,146,6
35023,6,144,7
35023,7,166,8
35023,8,66,9
35023,9,145,10
35023,10,145,11
35023,11,145,12
35023,12,185,13
35023,13,185,14
35023,14,146,15
35023,15,1420,16
35023,16,166,17
35023,17,166,18
35023,18,166,19
35023,19,144,20
35023,20,144,21
35023,21,145,22
35023,89,22,1
35023,283.,23,2
35023,333,24,3
35023,335,25,4
35023,7.,26,5
35023,152,27,6
35023,354.,28,7
35023,109,29,8
35023,110,30,9
35023,91,31,10
35023,250,32,11
35023,350,33,12
35023,277.,34,13
35023,227,35,14
35023,36,36,15
35023,439,37,16
35023,268,38,17
35023,266,39,18
35023,269,40,19
35023,321,41,20
35023,320,42,21
35023,90,43,22
35023,144,202,1
35023,144,200,2
35023,185,101,3
35023,141,450,4
35023,141,453,5
35023,14,455,6
35023,141,452,7
35023,185,48,8
35023,157,101,9
35023,157,100,10
35023,156,344,11
35023,166,87,12
35023,1660,88,13
35023,157,315,14
35023,144,174,15
35023,144,173,16
35023,142,88,17
35023,141,66,18
35023,142,381,19
35023,"146,",720,20
35023,146,77,21
35023,163,3/6,22
35023,44,163,1
35023,45,155,2
35023,46,184,3
35023,47,145,4
35023,48,156,5
35023,49,156,6
35023,50,144,7
35023,51,144,8
35023,52,157,9
35023,53,157,10
35023,54,185,11
35023,55,143,12
35023,56,141,13
35023,57,145,14
35023,58,141,15
35023,59,185,16
35023,60,145,17
35023,61,145,18
35023,62,156,19
35023,63,156,20
35023,64,184,21
35023,65,185,22
35023,433,66,1
35023,4,67,2
35023,"27,4",68,3
35023,126,69,4
35023,247,70,5
35023,249,71,6
35023,359,72,7
35023,36%,73,8
35023,558,74,9
35023,559,75,10
35023,195,76,11
35023,290,77,12
35023,167,·78,13
35023,212,79,14
35023,ILde,80,15
35023,267,81,16
35023,263,82,17
35023,262,83,18
35023,4Lde,84,19
35023,445,85,20
35023,429,86,21
35023,27,87,22
35023,185,268,1
35023,157,548,2
35023,157,549,3
35023,157,430,4
35023,157,431,5
35023,143,258.,6
35023,185,95,7
35023,142,205,8
35023,142,207,9
35023,157,550,10
35023,166,267,11
35023,163,465,12
35023,163,464,13
35023,155,218,14
35023,155,219,15
35023,155,226,16
35023,163,25,17
35023,163,28,18
35023,142,186,19
35023,142,396,20
35023,166,93,21
35023,157,264,22
