ED_CODE,FULL_PD,SEQUENCE_NUMBER,ROW
35023,ex:,105-A,1
35023,1,136,2
35023,2,136,3
35023,3,140,4
35023,4,137,5
35023,,134,6
35023,,134,7
35023,7,"1,40",8
35023,8,140,9
35023,9,183,10
35023,10,136,11
35023,11,136,12
35023,12,138,13
35023,13,17.3,14
35023,14,135,15
35023,15,139,16
35023,16,140,17
35023,17,134,18
35023,18,134,19
35023,19,134,20
35023,20,134,21
35023,21,137,22
35023,,87,1
35023,,380,2
35023,,382,3
35023,,161,4
35023,,101,5
35023,,292,6
35023,,289,7
35023,,94.,8
35023,,403,9
35023,,176,10
35023,,297,11
35023,,298.,12
35023,,173,13
35023,,114,14
35023,,325,15
35023,,420,16
35023,,413,17
35023,,314,18
35023,,315,19
35023,,312,20
35023,,313,21
35023,,71,22
35023,22,177,1
35023,23,177,2
35023,24,133,3
35023,25,176,4
35023,26,176,5
35023,27,176,6
35023,28,"150""",7
35023,·29,148,8
35023,30,148,9
35023,31,137,10
35023,32,137,11
35023,33,132,12
35023,34,135,13
35023,35,198,14
35023,: 36,176,15
35023,37,176,16
35023,38,135,17
35023,39,133,18
35023,40,133,19
35023,41,173,20
35023,42,135,21
35023,43,135,22
35023,201,44,1
35023,202,45,2
35023,217,46,3
35023,46,47,4
35023,45,48,5
35023,44,49,6
35023,182,50,7
35023,283,51,8
35023,282,52,9
35023,:18,53,10
35023,150,54,11
35023,242,55,12
35023,309,56,13
35023,66,57,14
35023,177,58,15
35023,17b.,59,16
35023,34,60,17
35023,207.,61,18
35023,208.,62,19
35023,161,63,20
35023,349,64,21
35023,347,65,22
35023,173,162,1
35023,173,159,2
35023,177,444,3
35023,177,445,4
35023,177,44,5
35023,150,267,6
35023,150,268,7
35023,150,223,8
35023,150,221,9
35023,139,381,10
35023,148,237,11
35023,150,233,12
35023,139,392,13
35023,139,428,14
35023,132,50,15
35023,1.76,3KB,16
35023,176,318,17
35023,139,388.,18
35023,150,107,19
35023,150,350,20
35023,150,351,21
35023,150,349.,22
35023,66,136,1
35023,·67,176,2
35023,68,.136,3
35023,69,132,4
35023,70,140,5
35023,71,177,6
35023,72,177,7
35023,73,138,8
35023,74,173,9
35023,75,139,10
35023,76,139,11
35023,77,176,12
35023,78,148,13
35023,79,148,14
35023,80,1.34,15
35023,81,134,16
35023,82,148,17
35023,83,176,18
35023,84,176,19
35023,85,132,20
35023,86,150,21
35023,87,176,22
