ED_CODE,FULL_PD,SEQUENCE_NUMBER,ROW
35023,ex:,105-A,1
35023,1,137,2
35023,2,139,3
35023,3,39,4
35023,4,133,5
35023,5,133,6
35023,6,150,7
35023,7,139,8
35023,8,150,9
35023,9,50,10
35023,10,137,11
35023,11,173,12
35023,12,134,13
35023,13,34,14
35023,14,137,15
35023,15,36,16
35023,16,132,17
35023,17,132,18
35023,18,140,19
35023,19,137,20
35023,20,177,21
35023,21,177 -,22
35023,87,22,1
35023,190,23,2
35023,39,24,3
35023,38,25,4
35023,47,2.6,5
35023,46,27,6
35023,222,$ 28,7
35023,220,29,8
35023,329,30,9
35023,328,31,10
35023,191,32,11
35023,107,33,12
35023,285,34,13
35023,286,35,14
35023,155,36,15
35023,277,37,16
35023,343,38,17
35023,344,39,18
35023,249,40,19
35023,27,41,20
35023,20,42,21
35023,390,43,22
35023,173,82,1
35023,140,330,2
35023,136,120,3
35023,136,121,4
35023,150,163,5
35023,140,289.,6
35023,137,270,7
35023,140,322,8
35023,135,155,9
35023,137,282,10
35023,137,283,11
35023,140,42,12
35023,132,138,13
35023,132,136.,14
35023,148,53,15
35023,BY,201,16
35023,150,399,17
35023,150,400,18
35023,150,101,19
35023,136,373,20
35023,134,274,21
35023,134,273,22
35023,44,132,1
35023,45,133,2
35023,46,148,3
35023,47,77,4
35023,48,140,5
35023,49,136,6
35023,50,136,7
35023,51,177,8
35023,52,177,9
35023,53,137,10
35023,54,136,11
35023,55,134,12
35023,56,36,13
35023,57,136,14
35023,58,148,15
35023,59,132,16
35023,60,132,17
35023,61,173,18
35023,62,123,19
35023,63,173,20
35023,64,133,21
35023,65,133,22
35023,220,66,1
35023,355,67,2
35023,193,68,3
35023,314,69,4
35023,358,70,5
35023,160,71,6
35023,162,72,7
35023,151,73,8
35023,152,74,9
35023,222,75,10
35023,181,76,11
35023,291,·77,12
35023,305,78,13
35023,306,79,14
35023,164,80,15
35023,1.65,81,16
35023,163,82,17
35023,385,83,18
35023,24,84,19
35023,289,85,20
35023,210,86,21
35023,212.,87,22
35023,133,216,1
35023,139,252,2
35023,139,253,3
35023,177,270,4
35023,177,269,5
35023,148,108,6
35023,138,276,7
35023,134,253,8
35023,134,254,9
35023,132,347,10
35023,148,486,11
35023,148,408,12
35023,134,323,13
35023,148,407,14
35023,136,372,15
35023,132,262,16
35023,132,270,17
35023,135,152,18
35023,135,151,19
35023,176,29/,20
35023,176,293,21
35023,136,339,22
